date,total_visits,total_revenue,year,month,day_of_week,day_of_year,is_weekend,lag_1,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_sum_7,rolling_mean_14,rolling_std_14,rolling_sum_14,rolling_mean_30,rolling_std_30,rolling_sum_30
2020-01-28,13,21809.41,2020,1,1,28,0,16.0,11.0,28.0,24.0,,14.0,4.041451884327385,98.0,15.357142857142858,5.7992989345151145,215.0,,,
2020-01-29,22,43472.55,2020,1,2,29,0,13.0,7.0,17.0,21.0,,14.714285714285714,4.990467102863411,103.0,15.428571428571429,5.879747322073337,216.0,,,
2020-01-30,18,35571.76,2020,1,3,30,0,22.0,16.0,19.0,15.0,,14.571428571428571,4.85994317035165,102.0,15.642857142857142,5.917472730523016,219.0,14.7,5.960502177408927,441.0
2020-01-31,16,40453.93,2020,1,4,31,0,18.0,13.0,15.0,20.0,12.0,14.714285714285714,4.889249625940766,103.0,15.357142857142858,5.7860195279675635,215.0,14.833333333333334,5.94273438360011,445.0
2020-02-01,7,22525.43,2020,2,5,32,1,16.0,22.0,11.0,13.0,15.0,14.142857142857142,5.580578567035606,99.0,14.928571428571429,6.182659195303808,209.0,14.566666666666666,6.112075855580312,437.0
2020-02-02,7,16298.740000000002,2020,2,6,33,1,7.0,18.0,7.0,5.0,13.0,14.142857142857142,5.580578567035606,99.0,15.071428571428571,5.9544977920932975,211.0,14.366666666666667,6.261449283228027,431.0
2020-02-03,17,38963.05,2020,2,0,34,0,7.0,16.0,16.0,15.0,5.0,14.285714285714286,5.648430038936654,100.0,15.214285714285714,5.976602732303714,213.0,14.766666666666667,6.0211313711382966,443.0
2020-02-04,18,37947.49,2020,2,1,35,0,17.0,7.0,13.0,28.0,6.0,15.0,5.773502691896259,105.0,14.5,4.81583925108674,203.0,15.166666666666666,5.813677887079111,455.0
2020-02-05,19,48788.18,2020,2,2,36,0,18.0,7.0,22.0,17.0,12.0,14.571428571428571,5.255382728122439,102.0,14.642857142857142,4.924149951743219,205.0,15.4,5.822666766685352,462.0
2020-02-06,25,63685.87,2020,2,3,37,0,19.0,17.0,18.0,19.0,13.0,15.571428571428571,6.528326555791126,109.0,15.071428571428571,5.553436714383206,211.0,15.8,6.059475338617226,474.0
2020-02-07,30,61274.84,2020,2,4,38,0,25.0,18.0,16.0,15.0,15.0,17.571428571428573,8.521681032463466,123.0,16.142857142857142,6.837196263619522,226.0,16.3,6.5870824476708805,489.0
2020-02-08,4,5314.05,2020,2,5,39,1,30.0,19.0,7.0,11.0,21.0,17.142857142857142,9.191092996819826,120.0,15.642857142857142,7.468983484097036,219.0,15.733333333333333,6.892941583834939,472.0
2020-02-09,11,21322.920000000002,2020,2,6,40,1,4.0,25.0,7.0,7.0,19.0,17.714285714285715,8.557925872435167,124.0,15.928571428571429,7.184002374017572,223.0,15.466666666666667,6.916912473128421,464.0
2020-02-10,22,39845.31,2020,2,0,41,0,11.0,30.0,17.0,16.0,3.0,18.428571428571427,8.695921320886452,129.0,16.357142857142858,7.365273433298506,229.0,16.1,6.598589190906252,483.0
2020-02-11,18,47351.53,2020,2,1,42,0,22.0,4.0,18.0,13.0,9.0,18.428571428571427,8.695921320886452,129.0,16.714285714285715,7.310988267707004,234.0,16.4,6.467958159931206,492.0
2020-02-12,12,43853.14,2020,2,2,43,0,18.0,11.0,19.0,22.0,19.0,17.428571428571427,9.015859043136947,122.0,16.0,7.243033788512826,224.0,16.166666666666668,6.497125801318681,485.0
2020-02-13,26,48526.71,2020,2,3,44,0,12.0,22.0,25.0,18.0,24.0,17.571428571428573,9.162553189607191,123.0,16.571428571428573,7.713268146156045,232.0,16.233333333333334,6.589873806197596,487.0
2020-02-14,27,63037.08,2020,2,4,45,0,26.0,18.0,30.0,16.0,21.0,17.142857142857142,8.532849688675162,120.0,17.357142857142858,8.195750708161498,243.0,16.433333333333334,6.826335076357784,493.0
2020-02-15,8,19490.04,2020,2,5,46,1,27.0,12.0,4.0,7.0,15.0,17.714285714285715,7.587583842793999,124.0,17.428571428571427,8.102367039844076,244.0,16.2,6.994579181840353,486.0
2020-02-16,6,14354.039999999999,2020,2,6,47,1,8.0,26.0,11.0,7.0,20.0,17.0,8.504900548115382,119.0,17.357142857142858,8.205131066849319,243.0,15.733333333333333,7.196423121740857,472.0
2020-02-17,18,47524.090000000004,2020,2,0,48,0,6.0,27.0,22.0,17.0,13.0,16.428571428571427,8.243323416704028,115.0,17.428571428571427,8.206135469309494,244.0,15.9,7.188832335284193,477.0
2020-02-18,18,43934.159999999996,2020,2,1,49,0,18.0,8.0,18.0,18.0,5.0,16.428571428571427,8.243323416704028,115.0,17.428571428571427,8.206135469309494,244.0,16.333333333333332,6.89494234095235,490.0
2020-02-19,20,38673.43,2020,2,2,50,0,18.0,6.0,12.0,19.0,15.0,17.571428571428573,8.079957567073869,123.0,17.5,8.225195812492622,245.0,16.5,6.9219789875041,495.0
2020-02-20,16,35277.23,2020,2,3,51,0,20.0,18.0,26.0,25.0,28.0,16.142857142857142,7.174690967295421,113.0,16.857142857142858,7.940714391976647,236.0,16.1,6.572408365594604,483.0
2020-02-21,15,28985.22,2020,2,4,52,0,16.0,18.0,27.0,30.0,17.0,14.428571428571429,5.349677337844563,101.0,15.785714285714286,6.985463713791898,221.0,16.033333333333335,6.57310787424311,481.0
2020-02-22,5,11587.58,2020,2,5,53,1,15.0,20.0,8.0,4.0,19.0,14.0,6.0277137733417145,98.0,15.857142857142858,6.859660709899947,222.0,15.566666666666666,6.846510983243812,467.0
2020-02-23,6,16509.53,2020,2,6,54,1,5.0,16.0,6.0,11.0,15.0,14.0,6.0277137733417145,98.0,15.5,7.250994626733843,217.0,15.266666666666667,7.065864192128885,458.0
2020-02-24,22,41330.14,2020,2,0,55,0,6.0,15.0,18.0,22.0,11.0,14.571428571428571,6.629659188252517,102.0,15.5,7.250994626733843,217.0,15.633333333333333,7.12200733682205,469.0
2020-02-25,19,44454.95,2020,2,1,56,0,22.0,5.0,18.0,18.0,7.0,14.714285714285714,6.725927091345498,103.0,15.571428571428571,7.2823737224181935,218.0,16.033333333333335,6.955441101723185,481.0
2020-02-26,14,33751.9,2020,2,2,57,0,19.0,6.0,20.0,12.0,16.0,13.857142857142858,6.309478885734059,97.0,15.714285714285714,7.226325499157936,220.0,15.966666666666667,6.9653493777428706,479.0
2020-02-27,18,56722.54,2020,2,3,58,0,14.0,22.0,16.0,26.0,13.0,14.142857142857142,6.466028441750306,99.0,15.142857142857142,6.643182078783338,212.0,16.133333333333333,6.951721857324932,484.0
2020-02-28,7,11314.44,2020,2,4,59,0,18.0,19.0,15.0,27.0,22.0,13.0,6.976149845485458,91.0,13.714285714285714,6.018287149993776,192.0,15.633333333333333,7.053897593839013,469.0
2020-02-29,7,10160.04,2020,2,5,60,1,7.0,14.0,5.0,8.0,18.0,13.285714285714286,6.626066850308862,93.0,13.642857142857142,6.09674746650455,191.0,15.266666666666667,7.210783750664734,458.0
2020-03-01,5,8192.96,2020,3,6,61,1,7.0,18.0,6.0,6.0,16.0,13.142857142857142,6.817344825970782,92.0,13.571428571428571,6.198191866793282,190.0,14.9,7.447980517771474,447.0
2020-03-02,22,52108.65,2020,3,0,62,0,5.0,7.0,22.0,18.0,7.0,13.142857142857142,6.817344825970782,92.0,13.857142857142858,6.502746672423451,194.0,15.4,7.402702209328699,462.0
2020-03-03,14,29050.81,2020,3,1,63,0,22.0,7.0,19.0,18.0,7.0,12.428571428571429,6.347102826149456,87.0,13.571428571428571,6.393678196400008,190.0,15.633333333333333,7.237275794077509,469.0
2020-03-04,15,34030.51,2020,3,2,64,0,14.0,5.0,14.0,20.0,17.0,12.571428571428571,6.399404734221854,88.0,13.214285714285714,6.141643120515893,185.0,15.566666666666666,7.233463105991979,467.0
2020-03-05,14,35200.35,2020,3,3,65,0,15.0,22.0,18.0,16.0,18.0,12.0,6.0000000000000115,84.0,13.071428571428571,6.094944761714548,183.0,15.433333333333334,7.223922582037018,463.0
2020-03-06,22,41298.26,2020,3,4,66,0,14.0,14.0,7.0,15.0,19.0,14.142857142857142,6.568322247184377,99.0,13.571428571428571,6.5364573528230645,190.0,15.533333333333333,7.295408727805944,466.0
2020-03-07,8,38227.14,2020,3,5,67,1,22.0,15.0,7.0,5.0,25.0,14.285714285714286,6.395683067879614,100.0,13.785714285714286,6.277904739010293,193.0,14.966666666666667,7.194266554998348,449.0
2020-03-08,3,2918.4,2020,3,6,68,1,8.0,14.0,5.0,6.0,30.0,14.0,6.904105059069334,98.0,13.571428571428571,6.606689916164647,190.0,14.066666666666666,6.93284702096418,422.0
2020-03-09,26,58560.29,2020,3,0,69,0,3.0,22.0,22.0,22.0,4.0,14.571428571428571,7.785823502947373,102.0,13.857142857142858,7.069513560212043,194.0,14.8,6.994579181840353,444.0
2020-03-10,17,32009.02,2020,3,1,70,0,26.0,8.0,14.0,19.0,11.0,15.0,7.831560082980491,105.0,13.714285714285714,6.977199916966595,192.0,15.0,6.9679067256910825,450.0
2020-03-11,22,56968.54,2020,3,2,71,0,17.0,3.0,15.0,14.0,22.0,16.0,8.266397845091499,112.0,14.285714285714286,7.321502277838585,200.0,15.0,6.9679067256910825,450.0
2020-03-12,13,31695.329999999998,2020,3,3,72,0,22.0,26.0,14.0,18.0,18.0,15.857142857142858,8.315218406203002,111.0,13.928571428571429,7.247962957477571,195.0,14.833333333333334,6.953457752272869,445.0
2020-03-13,18,32180.5,2020,3,4,73,0,13.0,17.0,22.0,7.0,12.0,15.285714285714286,7.952238379104044,107.0,14.714285714285714,7.032108464077432,206.0,15.033333333333333,6.955441101723184,451.0
2020-03-14,5,14587.26,2020,3,5,74,1,18.0,22.0,8.0,7.0,26.0,14.857142857142858,8.4740500240159,104.0,14.571428571428571,7.218718037843708,204.0,14.333333333333334,6.869890996140372,430.0
2020-03-15,9,25877.06,2020,3,6,75,1,5.0,13.0,3.0,5.0,27.0,15.714285714285714,7.296444013222831,110.0,14.857142857142858,6.882051827953446,208.0,13.733333333333333,6.501635514839021,412.0
2020-03-16,20,41177.15,2020,3,0,76,0,9.0,18.0,26.0,22.0,8.0,14.857142857142858,6.148944934663499,104.0,14.714285714285714,6.741702266531017,206.0,14.133333333333333,6.505877095489059,424.0
2020-03-17,17,27987.48,2020,3,1,77,0,20.0,5.0,17.0,14.0,6.0,14.857142857142858,6.148944934663499,104.0,14.928571428571429,6.7648899668609745,209.0,14.5,6.3395311476807,435.0
2020-03-18,25,57005.54,2020,3,2,78,0,17.0,9.0,22.0,15.0,18.0,15.285714285714286,6.799859942535236,107.0,15.642857142857142,7.281241893831266,219.0,14.733333333333333,6.596411424264021,442.0
2020-03-19,19,37428.04,2020,3,3,79,0,25.0,20.0,13.0,14.0,18.0,16.142857142857142,6.841748592978542,113.0,16.0,7.316998123442533,224.0,14.766666666666667,6.615985517503501,443.0
2020-03-20,10,24244.18,2020,3,4,80,0,19.0,17.0,18.0,22.0,20.0,15.0,7.141428428542856,105.0,15.142857142857142,7.262730392025629,212.0,14.433333333333334,6.5951044191013795,433.0
2020-03-21,6,13454.57,2020,3,5,81,1,10.0,25.0,5.0,8.0,16.0,15.142857142857142,6.914443130833017,106.0,15.0,7.431740659547347,210.0,14.1,6.763747176090257,423.0
2020-03-22,5,10226.529999999999,2020,3,6,82,1,6.0,19.0,9.0,3.0,15.0,14.571428571428571,7.634508123364228,102.0,15.142857142857142,7.198901015028324,212.0,13.766666666666667,6.961387759651794,413.0
2020-03-23,11,22115.57,2020,3,0,83,0,5.0,10.0,20.0,26.0,5.0,13.285714285714286,7.319250547114008,93.0,14.071428571428571,6.545277636636916,197.0,13.966666666666667,6.784786904047413,419.0
2020-03-24,22,56966.119999999995,2020,3,1,84,0,11.0,6.0,17.0,17.0,6.0,14.0,7.958224257542222,98.0,14.428571428571429,6.8468329086608275,202.0,14.5,6.765786138281751,435.0
2020-03-25,17,57125.8,2020,3,2,85,0,22.0,5.0,25.0,22.0,22.0,12.857142857142858,6.568322247184382,90.0,14.071428571428571,6.545277636636916,197.0,14.333333333333334,6.6349821782539165,430.0
2020-03-26,22,69947.26,2020,3,3,86,0,17.0,11.0,19.0,13.0,19.0,13.285714285714286,7.111359122659233,93.0,14.714285714285714,6.8660656232559525,206.0,14.433333333333334,6.729673524557221,433.0
2020-03-27,18,50997.93,2020,3,4,87,0,22.0,22.0,10.0,18.0,14.0,14.428571428571429,7.138093649734574,101.0,14.714285714285714,6.8660656232559525,206.0,14.566666666666666,6.76034753918574,437.0
2020-03-28,9,17003.89,2020,3,5,88,1,18.0,17.0,6.0,5.0,18.0,14.857142857142858,6.61887632529298,104.0,15.0,6.504436355879909,210.0,14.266666666666667,6.802298462124112,428.0
2020-03-29,6,19633.35,2020,3,6,89,1,9.0,22.0,5.0,9.0,7.0,15.0,6.37704215656967,105.0,14.785714285714286,6.761640349780533,207.0,14.233333333333333,6.8414725846440945,427.0
2020-03-30,23,43277.17,2020,3,0,90,0,6.0,18.0,11.0,20.0,7.0,16.714285714285715,6.725927091345495,117.0,15.0,6.983497030086772,210.0,14.766666666666667,6.881676486465183,443.0
2020-03-31,19,48705.17,2020,3,1,91,0,23.0,9.0,22.0,17.0,5.0,16.285714285714285,6.421689437998016,114.0,15.142857142857142,7.047718047022714,212.0,15.233333333333333,6.667902184362776,457.0
2020-04-01,15,28464.35,2020,4,2,92,0,19.0,6.0,17.0,25.0,22.0,16.0,6.4291005073286405,112.0,14.428571428571429,6.453553412527988,202.0,15.0,6.544278891283327,450.0
2020-04-02,9,16329.03,2020,4,3,93,0,15.0,23.0,22.0,19.0,14.0,14.142857142857142,6.283008075451644,99.0,13.714285714285714,6.462061726588638,192.0,14.833333333333334,6.633682772520613,445.0
2020-04-03,12,26421.63,2020,4,4,94,0,9.0,19.0,18.0,10.0,15.0,13.285714285714286,6.074928962939568,93.0,13.857142857142858,6.395396696147853,194.0,14.733333333333333,6.653665483612478,442.0
2020-04-04,7,17963.81,2020,4,5,95,1,12.0,15.0,9.0,6.0,14.0,13.0,6.350852961085892,91.0,13.928571428571429,6.305849368938037,195.0,14.5,6.80136903054489,435.0
2020-04-05,7,17506.11,2020,4,6,96,1,7.0,9.0,6.0,5.0,22.0,13.142857142857142,6.175990377490662,92.0,14.071428571428571,6.107552521444067,197.0,14.0,6.782329983125265,420.0
2020-04-06,19,56274.16,2020,4,0,97,0,7.0,12.0,23.0,11.0,8.0,12.571428571428571,5.223572942509219,88.0,14.642857142857142,6.171985628094623,205.0,14.366666666666667,6.744005426703204,431.0
2020-04-07,9,24205.48,2020,4,1,98,0,19.0,7.0,19.0,22.0,3.0,11.142857142857142,4.488079449258594,78.0,13.714285714285714,5.9540363998341,192.0,14.566666666666666,6.479055557682786,437.0
2020-04-08,12,44331.47,2020,4,2,99,0,9.0,7.0,15.0,17.0,26.0,10.714285714285714,4.191828786034654,75.0,13.357142857142858,5.891416740376729,187.0,14.1,6.121471538209045,423.0
2020-04-09,7,31087.559999999998,2020,4,3,100,0,12.0,19.0,9.0,22.0,17.0,10.428571428571429,4.391550328268422,73.0,12.285714285714286,5.552941998181215,172.0,13.766666666666667,6.2294259066495625,413.0
2020-04-10,6,10391.42,2020,4,4,101,0,7.0,9.0,12.0,18.0,22.0,9.571428571428571,4.613644360558638,67.0,11.428571428571429,5.529143565818173,160.0,13.233333333333333,6.184983669218997,397.0
2020-04-11,4,15032.789999999999,2020,4,5,102,1,6.0,12.0,7.0,9.0,13.0,9.142857142857142,5.014265364224094,64.0,11.071428571428571,5.850237151199484,155.0,12.933333333333334,6.410838523525029,388.0
2020-04-12,8,11280.44,2020,4,6,103,1,4.0,7.0,7.0,6.0,18.0,9.285714285714286,4.956957592256445,65.0,11.214285714285714,5.74025691502997,157.0,12.6,6.398275629767966,378.0
2020-04-13,17,39544.26,2020,4,0,104,0,8.0,6.0,19.0,23.0,5.0,9.0,4.320493798938603,63.0,10.785714285714286,4.964157243969721,151.0,13.0,6.280786245532392,390.0
2020-04-14,16,34552.94,2020,4,1,105,0,17.0,4.0,9.0,19.0,9.0,10.0,5.066228051190244,70.0,10.571428571428571,4.636216722124345,148.0,13.233333333333333,6.257042009819304,397.0
2020-04-15,9,16218.109999999999,2020,4,2,106,0,16.0,8.0,12.0,15.0,20.0,9.571428571428571,4.995235825502255,67.0,10.142857142857142,4.469678062010941,142.0,12.866666666666667,6.168514789853679,386.0
2020-04-16,17,58127.33,2020,4,3,107,0,9.0,17.0,7.0,9.0,17.0,11.0,5.5377492419454,77.0,10.714285714285714,4.81070235442363,150.0,12.866666666666667,6.168514789853679,386.0
2020-04-17,7,11848.0,2020,4,4,108,0,17.0,16.0,6.0,12.0,25.0,11.142857142857142,5.3984124650546415,78.0,10.357142857142858,4.8928070102509,145.0,12.266666666666667,5.812788121644063,368.0
2020-04-18,6,10729.07,2020,4,5,109,1,7.0,9.0,4.0,7.0,19.0,11.428571428571429,4.995235825502249,80.0,10.285714285714286,4.952521835133333,144.0,11.833333333333334,5.77798039727241,355.0
2020-04-19,5,11346.32,2020,4,6,110,1,6.0,17.0,8.0,7.0,10.0,11.0,5.446711546122749,77.0,10.142857142857142,5.0817492878118,142.0,11.666666666666666,5.903437533559878,350.0
2020-04-20,17,33265.07,2020,4,0,111,0,5.0,7.0,17.0,19.0,6.0,11.0,5.446711546122749,77.0,10.0,4.835764198615901,140.0,12.033333333333333,5.880906177730116,361.0
2020-04-21,16,32985.36,2020,4,1,112,0,17.0,6.0,16.0,9.0,5.0,11.0,5.446711546122749,77.0,10.5,5.080127194046644,147.0,12.4,5.769121130700025,372.0
2020-04-22,15,29482.45,2020,4,2,113,0,16.0,5.0,9.0,12.0,11.0,11.857142857142858,5.550632739564381,83.0,10.714285714285714,5.20988072251727,150.0,12.533333333333333,5.781858270268405,376.0
2020-04-23,9,15044.23,2020,4,3,114,0,15.0,17.0,17.0,7.0,22.0,10.714285714285714,5.122313465427067,75.0,10.857142857142858,5.126959555693239,152.0,12.1,5.52954447210305,363.0
2020-04-24,10,30519.52,2020,4,4,115,0,9.0,16.0,7.0,6.0,17.0,11.142857142857142,4.879500364742686,78.0,11.142857142857142,4.943638380743516,156.0,11.866666666666667,5.4629367707231795,356.0
2020-04-25,9,20269.62,2020,4,5,116,1,10.0,15.0,6.0,4.0,22.0,11.571428571428571,4.46680881081574,81.0,11.5,4.553105449115931,161.0,11.433333333333334,5.137309998723881,343.0
2020-04-26,7,15528.84,2020,4,6,117,1,9.0,9.0,5.0,8.0,18.0,11.857142857142858,4.017817460121516,83.0,11.428571428571429,4.619595148999454,160.0,11.066666666666666,5.044172693407648,332.0
2020-04-27,20,41500.61,2020,4,0,118,0,7.0,10.0,17.0,17.0,9.0,12.285714285714286,4.750939756661699,86.0,11.642857142857142,4.955294648650574,163.0,11.433333333333334,5.282915426381412,343.0
2020-04-28,8,13977.1,2020,4,1,119,0,20.0,9.0,16.0,16.0,6.0,11.142857142857142,4.670066788550675,78.0,11.071428571428571,4.87480627961114,155.0,11.5,5.22428018470255,345.0
2020-04-29,16,40244.119999999995,2020,4,2,120,0,8.0,7.0,15.0,9.0,23.0,11.285714285714286,4.820590756130978,79.0,11.571428571428571,5.003295617187434,162.0,11.266666666666667,4.834740183678747,338.0
2020-04-30,14,30655.449999999997,2020,4,3,121,0,16.0,20.0,9.0,17.0,19.0,12.0,4.795831523312737,84.0,11.357142857142858,4.813556862687883,159.0,11.1,4.641269148664475,333.0
2020-05-01,3,7022.49,2020,5,4,122,0,14.0,8.0,10.0,7.0,15.0,11.0,5.887840577551915,77.0,11.071428571428571,5.19562368676807,155.0,10.7,4.807680636590589,321.0
2020-05-02,6,12675.25,2020,5,5,123,1,3.0,16.0,9.0,6.0,9.0,10.571428571428571,6.160550377391713,74.0,11.071428571428571,5.19562368676807,155.0,10.6,4.874988947821228,318.0
2020-05-03,4,5221.7,2020,5,6,124,1,6.0,14.0,7.0,5.0,12.0,10.142857142857142,6.542898731412864,71.0,11.0,5.291502622129175,154.0,10.333333333333334,5.012627732198851,310.0
2020-05-04,6,8028.98,2020,5,0,125,0,4.0,3.0,20.0,17.0,7.0,8.142857142857142,4.98091596089757,57.0,10.214285714285714,5.146747612717268,143.0,10.3,5.03881485792181,309.0
2020-05-05,11,27009.98,2020,5,1,126,0,6.0,6.0,8.0,16.0,7.0,8.571428571428571,5.0943479418254585,60.0,9.857142857142858,4.881001518559048,138.0,10.433333333333334,5.001264207993887,313.0
2020-05-06,18,28526.809999999998,2020,5,2,127,0,11.0,4.0,16.0,15.0,19.0,8.857142857142858,5.610364558225321,62.0,10.071428571428571,5.180797172314243,141.0,10.4,4.945217125040407,312.0
2020-05-07,9,15491.18,2020,5,3,128,0,18.0,6.0,14.0,9.0,9.0,8.142857142857142,5.145501965424834,57.0,10.071428571428571,5.180797172314243,141.0,10.4,4.945217125040407,312.0
2020-05-08,8,21785.21,2020,5,4,129,0,9.0,11.0,3.0,10.0,12.0,8.857142857142858,4.634241089562647,62.0,9.928571428571429,5.210408011696547,139.0,10.266666666666667,4.954505670274423,308.0
2020-05-09,7,16023.08,2020,5,5,130,1,8.0,18.0,6.0,9.0,7.0,9.0,4.5460605656619855,63.0,9.785714285714286,5.264957760493443,137.0,10.266666666666667,4.954505670274423,308.0
2020-05-10,9,21041.79,2020,5,6,131,1,7.0,9.0,4.0,7.0,6.0,9.714285714285714,3.9880774697543395,68.0,9.928571428571429,5.210408011696547,139.0,10.366666666666667,4.895341440195133,311.0
2020-05-11,10,29395.93,2020,5,0,132,0,9.0,8.0,6.0,20.0,4.0,10.285714285714286,3.638419332360617,72.0,9.214285714285714,4.335516497108873,129.0,10.566666666666666,4.7465656065697726,317.0
2020-05-12,11,25066.25,2020,5,1,133,0,10.0,7.0,11.0,8.0,8.0,10.285714285714286,3.638419332360617,72.0,9.428571428571429,4.345011033256507,132.0,10.666666666666666,4.722165877509224,320.0
2020-05-13,15,31331.22,2020,5,2,134,0,11.0,9.0,18.0,16.0,17.0,9.857142857142858,2.609506430251528,69.0,9.357142857142858,4.235511827342753,131.0,10.6,4.643126176365982,318.0
2020-05-14,14,38885.1,2020,5,3,135,0,15.0,10.0,9.0,14.0,16.0,10.571428571428571,2.9920529661724204,74.0,9.357142857142858,4.235511827342753,131.0,10.533333333333333,4.576803080402457,316.0
2020-05-15,7,13917.45,2020,5,4,136,0,14.0,11.0,8.0,3.0,9.0,10.428571428571429,3.154739442867063,73.0,9.642857142857142,3.894910739712732,135.0,10.466666666666667,4.614320537521024,314.0
2020-05-16,2,3833.92,2020,5,5,137,1,7.0,15.0,7.0,6.0,17.0,9.714285714285714,4.386125310350299,68.0,9.357142857142858,4.3075451309237565,131.0,9.966666666666667,4.693967760150588,299.0
2020-05-17,8,24172.6,2020,5,6,138,1,2.0,14.0,9.0,4.0,7.0,9.571428571428571,4.4293394111365965,67.0,9.642857142857142,4.049827021132978,135.0,10.0,4.675689143379512,300.0
2020-05-18,12,38728.3,2020,5,0,139,0,8.0,7.0,10.0,6.0,6.0,9.857142857142858,4.52506248312559,69.0,10.071428571428571,3.9509353462047474,141.0,10.2,4.626758752271826,306.0
2020-05-19,12,20772.07,2020,5,1,140,0,12.0,2.0,11.0,11.0,5.0,10.0,4.582575694955867,70.0,10.142857142857142,3.977961264790765,142.0,10.433333333333334,4.5309916196646265,313.0
2020-05-20,8,24358.76,2020,5,2,141,0,12.0,8.0,15.0,18.0,17.0,9.0,4.041451884327418,63.0,9.428571428571429,3.298351236469637,132.0,10.133333333333333,4.376530930829296,304.0
2020-05-21,15,39603.69,2020,5,3,142,0,8.0,12.0,14.0,9.0,16.0,9.142857142857142,4.259443290250199,64.0,9.857142857142858,3.6131627495789567,138.0,10.1,4.333908007871123,303.0
